scope,group,roll_profile,build_count,metric,n,min,p10,p25,median,p75,p90,max,mean,sample_sd,mad
class,archer,upper_quartile_proxy,11,walk_speed,11,-33,-25,-17,0,2,24,211,11.9091,67.8977,17
class,archer,upper_quartile_proxy,11,attack_tier,11,-67,-15,-9.5,-3,-0.5,0,2,-9.9091,19.6492,3
class,archer,upper_quartile_proxy,11,attacks_per_second,11,0.51,0.51,0.51,0.51,2.05,4.3,4.3,1.4791,1.5212,0
class,archer,upper_quartile_proxy,11,poison,11,0,0,0,0,0,7524,8500,1456.7273,3248.3531,0
class,archer,upper_quartile_proxy,11,main_attack_range_pct,11,-42,-21,-8,0,0,0,28,-4.6364,16.9781,0
class,archer,upper_quartile_proxy,11,main_attack_range_blocks,11,3.48,5.58,6.84,10.01,11,11,11,8.7673,2.7098,0.99
class,archer,upper_quartile_proxy,11,main_attack_dps,11,1397.4022,1862.4807,3445.0846,5475.2751,9539.7739,13056.3798,14207.3837,6726.373,4417.7822,3289.2545
class,archer,upper_quartile_proxy,11,spell_display_avg_max,11,23787.0171,26253.6256,30287.6507,35260.481,106076.0451,152823.0316,223800.6708,73580.885,66157.8759,9006.8554
class,archer,upper_quartile_proxy,11,spell_display_avg_sum,11,55373.6989,62352.7025,73612.675,89123.7028,158562.5193,242295.7185,327099.9569,129001.6256,86655.6133,26771.0003
class,archer,upper_quartile_proxy,11,heal_pct,11,-51,-9,0,0,0,0,0,-5.4545,15.3451,0
class,archer,upper_quartile_proxy,11,skill_points_assigned,11,148,158,173,182,192.5,195,196,179.3636,15.5645,11
family,family_unclassified,upper_quartile_proxy,36,total_hp,36,7335,10947.5,13141,14233,16491.25,20435,23923,15042.8056,3893.9984,1577
family,family_unclassified,upper_quartile_proxy,36,ehp,36,10221.5961,12905.1923,17094.9878,25411.4255,37014.8478,54816.4722,63218.6621,29426.1017,14978.66,10530.5718
family,family_unclassified,upper_quartile_proxy,36,ehp_no_agi,36,7364.5106,11591.7051,13965.7428,17368.9228,24334.3727,53913.8456,63218.6621,23491.178,15727.304,4802.8161
family,family_unclassified,upper_quartile_proxy,36,hpr,36,-715.26,-366.275,-242.25,0,249.775,529.75,1387.68,46.2686,414.9429,253.85
family,family_unclassified,upper_quartile_proxy,36,ehpr,36,-1988.9061,-620.4427,-344.704,0,531.3675,1043.0021,3180.2325,127.7141,931.3083,430.4408
family,family_unclassified,upper_quartile_proxy,36,ls,36,-765,-222.5,0,201.5,493.5,862,1405,244.9167,462.8354,257.5
family,family_unclassified,upper_quartile_proxy,36,effective_ls,36,-1298.5013,-520.4622,0,388.0889,953.3651,1627.211,2908.5868,487.6331,898.4171,436.6881
family,family_unclassified,upper_quartile_proxy,36,mr,36,-19,-8,0,18,31.25,38,47,15.8333,18.5511,15.5
family,family_unclassified,upper_quartile_proxy,36,total_mr,36,6,17,25,43,56.25,63,72,40.8333,18.5511,15.5
family,family_unclassified,upper_quartile_proxy,36,ms,36,-27,-10,0,14,27,34.5,80,15.6944,22.0607,13.5
family,family_unclassified,upper_quartile_proxy,36,mana_per_hit,36,-10.8434,-4.0809,0,2.0471,15.585,20.5882,33.3333,6.251,10.2779,3.1654
family,family_unclassified,upper_quartile_proxy,36,total_mana,36,100,102.5,146.75,160.5,216.5,221,303,173.5556,49.5075,45
family,family_unclassified,upper_quartile_proxy,36,walk_speed,36,-66,-33.5,-25.25,-4,6.5,65,224,5,52.2275,16
family,family_unclassified,upper_quartile_proxy,36,attack_tier,36,-67,-7.5,-3.25,0,0,0,16,-3.4722,11.814,0.5
family,family_unclassified,upper_quartile_proxy,36,attacks_per_second,36,0.51,0.51,0.51,0.83,2.05,3.1,4.3,1.3975,1.1276,0.32
family,family_unclassified,upper_quartile_proxy,36,poison,36,-10200,0,0,0,0,50,26542,529.6944,5310.8902,0
family,family_unclassified,upper_quartile_proxy,36,main_attack_range_pct,36,-42,-20,0,0,0,0,132,-0.1389,24.8713,0
family,family_unclassified,upper_quartile_proxy,36,main_attack_range_blocks,32,0.8,1,1.875,4,11,25.7713,32.25,7.7676,9.6497,3
family,family_unclassified,upper_quartile_proxy,36,main_attack_dps,36,1.9856,1146.4496,1612.2027,3385.9928,5815.7258,7513.1012,15715.0358,4107.1746,3218.1334,2005.4491
